ID;اسم الفرع / المنفذ;نوع المرفق;العنوان;رابط الاتجاهات;خط العرض (Latitude);خط الطول (Longitude)
AZ-UF-BR-0171;فتح الله ماركت - الرحاب;منفذ بيع;محور السادات، اول القاهرة الجديدة، محافظة القاهرة‬;https://goo.gl/maps/LZhZve8kxJrkaJHc7;30.054096300;31.491307200
AZ-UF-BR-0172;فرع المنصورة شارع الترعة;فرع أبو عوف;العنوان اول شارع الترعه من ناحيه القريه الاولمبيه بجوار عصير الكتب;https://maps.app.goo.gl/2VG9KGrhD95dWLuD9;31.033739100;30.451982500
AZ-UF-BR-0173;فرع الميرغنى;فرع أبو عوف;١٠٥ شارع السيد المرغني، مصر الجديدة بجوار تورتينا الحلوانى;https://goo.gl/maps/DBJRkhjaqMo7LzAd7;30.088442000;31.338105000
AZ-UF-BR-0174;فريسكو مارت;منفذ بيع;36 شارع النخيل من سليمان اباظه , المهندسيين;https://goo.gl/maps/sPoDB1UPfDRUDZgN6;30.049069300;31.203871100
AZ-UF-BR-0175;فريش فوود ماركت-اسكندرية;منفذ بيع;8-10 شارع الكازينو، سان ستفانو، قسم الرمل.;https://goo.gl/maps/bEtmL4sdzkkNyBrUA;31.246119600;29.966709700
AZ-UF-BR-0176;فريش فوود ماركت-بالم هيلز;منفذ بيع;طريق الشباب، الشيخ زايد، أكتوبر;https://goo.gl/maps/dhFkW3HjuzWuwzFs9;30.031078600;30.998461200
AZ-UF-BR-0177;فريش فوود ماركت-بوينت 90;منفذ بيع;امام الجامعه الامريكية بوابة 5- بوينت 90 مول;https://goo.gl/maps/7w54UNjQNtxoVqAL8;30.019743400;31.494750000
AZ-UF-BR-0178;فندق ريزيدنس;منفذ بيع;فندق ريزيدانس - التجمع الأول- داخل الفندق;https://maps.app.goo.gl/c6NshQgjNERzeHsk7;30.038726300;31.440118100
AZ-UF-BR-0179;فيصل;فرع أبو عوف;عمارة 282 - مطبعة فيصل - بجوار الرفاعي;https://goo.gl/maps/RxueBhjpYcPfNoLK8;30.001207400;31.167507200
AZ-UF-BR-0180;قصر النيل;فرع أبو عوف;56 قصر النيل امام بنك وفا و اسكندرية;https://goo.gl/maps/VwrGXTnJqUWqeNpE7;30.049299700;31.246330200
AZ-UF-BR-0181;كارفور -المعادي الجديدة;منفذ بيع;كارفور نيو معادي;https://maps.app.goo.gl/pn5MGmXFKGCN6LPb7;29.982693300;31.315829600
